Title,Cost,Description,Effect,Ego,Morph,Skills,Stats,Coditional,Source
Ambidextrous,10,"The character can use and manipulate objects equally well with both hands (they do not suffer the off-hand modifier). If the character has other prehensile limbs (feet, tail, tentacles, etc), this trait may be applied to a limb other than the hand. This trait may be taken multiple times for multiple limbs.",,TRUE,FALSE,,,FALSE,
Animal Empathy,5,The character has an instinctive feel for handling and working with non-sapient animals of all kinds. Apply a +10 modifier to Animal Handling skill tests or whenever the character makes a test to influence or interact with an animal.,,TRUE,FALSE,,,FALSE,
Anomalous Mind,-20,"Found almost exclusively in AGIs, uplifts, and the subjects of highly experimental pyschosurgical proce- dures, your mental patterns are dramatically outside the norm of transhumanity. The uniqueness of their mental map makes psychosurgery, routine backup, and resleeving difficult and risky. Any attempts to perform psychosurgery on the character suffer a -10 penalty and automatically cause 1 SV in addition to any other results and regardless of the success or failure of a procedure. Also, backing up and resleeving are not automatic (pp. 268-271, EP) and require active management of the process. Any technician operating the ego bridge during such procedures must succeed on a Psychosurgery Test or the backup/ sleeving attempt will fail.","-10 when receiving psychosurgery, 1SV",TRUE,FALSE,,,FALSE,
Async Familiarity,5,"This character has a keen sense for the subtle behavioral clues and micro-expressions that many asyncs unconsciously adopt after their infection. As a result, they may make a Kinesics Test to identify an async as such on their behavior alone. Gamemasters are encouraged to make this test difficult (-30) at best, given that there is usually no outward sign of Watts-MacLeod infection or the use of psi sleights. This trait is most common among asyncs, but it may be allowed for characters that have studied asyncs or spent significant time in their presence.",,TRUE,FALSE,,,FALSE,
Bad Luck,-30,"Due to some inexplicable cosmic coincidence, things seem to go wrong around the character. The gamemaster is given a pool of Moxie points equal to the character's Moxie stat, which also refreshes at the same rate as the character's Moxie. Only the gamemaster may utilize this Moxie, however, and the purpose is to use it against the character. In other words, the gamemaster can use this bad Moxie to cause the character to automatically fail, flip-flop a roll, and so on. To reflect the black cloud that follows the character, the gamemaster can even use this bad Moxie against the character's friends and allies, when they are doing something with or related to the character, though this should be used sparingly. Gamemasters who might be reluctant to sabotage the character should remember that the player asked for it by purchasing this trait.",,TRUE,FALSE,,,FALSE,
Beta,-20,"This character is a beta fork of their original self, which for some reason is no longer alive (most likely lost during the Fall). They were created some time ago, so they have grown and overcome most of their original aptitude deficiencies. This character may not have a Moxie higher than 1 and no Active skills higher than 60, nor may they possess the Psi trait. They also have only a limited set of their original self's memories-much of their previous life is simply lost to them. They automatically receive the Edited Memories trait (p. 149, EP), without gaining the bonus CP. Beta forks are, of course, illegal in many jurisdictions, and some consider them less than human (the gamemaster may apply a Social Stigma: Beta trait in appropriate circumstances; again no bonus CP are gained).Note: the restrictions of the trait are not implemented; review your character to ascertain that it is properly constrained to the listed requirements. If you acquired this trait through packs or lifepaths, you may subtract the relevant values and reassign their CP.",,TRUE,FALSE,,,FALSE,
Black Mark (Level 1),-10,"At some point in the character's past, they managed to do something that earned a black mark on their reputation. For some reason, no matter what they do, this black mark cannot be shaken off and continues to haunt their interactions. In game terms, the character picks one faction. Every time they interact with this faction (such as a Networking Test) or with an NPC from this faction (Social Skill Tests) who knows who the character is, they suffer a -10 modifier.",,TRUE,FALSE,,,FALSE,
Black Mark (Level 2),-20,"At some point in the character's past, they managed to do something that earned a black mark on their reputation. For some reason, no matter what they do, this black mark cannot be shaken off and continues to haunt their interactions. In game terms, the character picks one faction. Every time they interact with this faction (such as a Networking Test) or with an NPC from this faction (Social Skill Tests) who knows who the character is, they suffer a -20 modifier.",,TRUE,FALSE,,,FALSE,
Black Mark (Level 3),-30,"At some point in the character's past, they managed to do something that earned a black mark on their reputation. For some reason, no matter what they do, this black mark cannot be shaken off and continues to haunt their interactions. In game terms, the character picks one faction. Every time they interact with this faction (such as a Networking Test) or with an NPC from this faction (Social Skill Tests) who knows who the character is, they suffer a -30 modifier.",,TRUE,FALSE,,,FALSE,
Botched Merge,-15,"In the past, the character suffered a serious complication during an attempt to merge a fork that caused irreparable damage to their ego map, leaving them with a weaker grip on their memories and own identity. For some reason-perhaps due to irreproducible memories or information that would otherwise be lost, moral conviction, or the lack of any prior backup states to re-instance-the decision was made to carry on with a damaged mind. Now, high-stress situations can cause periods of disso- ciation, amnesia, and body alienation. Whenever the character takes stress damage, they must succeed on an INT x 3 Test or immediately enter a dissociative state where they feel disconnected from their body, lose some awareness of the events around them, and/ or forget certain information, memories, or skills. In this state they suffer a -10 penalty on all tests. The dissociative state persists for one minute or for the duration of a derangement if one is acquired due to trauma.",,TRUE,FALSE,,,FALSE,
Botched Uplift,-30,"(Uplifts Only) This trait is only available to uplifts. Although possessed of a rough self-awareness and the trap- pings of sapience, your mental development is flawed. Despite the best efforts of your creators and teachers, you cannot ever fully overcome your mental limitations and serious social awkwardness. Even psychosurgery is unlikely to fix you. You have an aptitude maximum of 10 for both COG or SAV. You have difficulty keeping up with others in complex social situations and are likely highly reliant on your muse to organize your life and coach you through your daily affairs. Whoever does interact with you likely treats you with either contempt or pity, as your difficulties are apparent to anyone who has more than the briefest exchanges with you.",,TRUE,FALSE,,,FALSE,
Brave,10,"This character does not scare easily, and will face threats, intimidation, and certain bodily harm without flinching. As a side effect, the character is not always the best at gauging risks, especially when it comes to factoring in danger to others. The character receives a +10 modifier on all tests to resist fear or intimidation.",+10 against intimidation,TRUE,FALSE,,,FALSE,
Civilian Analyst (Level 1),10,"The character is a civilian analyst in a large intelligence agency such as the Titanian Ministry of State's Civilian Intelligence Directorate or the Planetary Consortium's Oversight.  For each level, the character receives a +10 on all Networking Tests within their agency. The character is actively employed there and is expected to put in at least 6 hours of work four days a week (if Titanian) or 8 hours a day five days a week (if Jovian, Venusian, Lunar, or Martian). In some polities, the character may be able to work remotely. This trait may be a poor choice for Jovian characters, as most Jovian intel analysts are confined to the Castle, with very limited freedom of movement. Also note that characters making frequent requests for secret information not related to their job functions will draw scrutiny.",+10 Networking with employer,TRUE,FALSE,,,FALSE,
Civilian Analyst (Level 2),20,"The character is a manager coordinating the work of 3-5 other analysts and a few dozen AIs, or a senior non-manager. For each level, the character receives a +10 on all Networking Tests within their agency. The character is actively employed there and is expected to put in at least 6 hours of work four days a week (if Titanian) or 8 hours a day five days a week (if Jovian, Venusian, Lunar, or Martian). In some polities, the character may be able to work remotely. This trait may be a poor choice for Jovian characters, as most Jovian intel analysts are confined to the Castle, with very limited freedom of movement. Also note that characters making frequent requests for secret information not related to their job functions will draw scrutiny.",+20 Networking with employer,TRUE,FALSE,,,FALSE,
Combat Paralysis,-20,"The character has an unfortunate habit of freezing in combat or stressful situations, like a deer caught in headlights. Anytime violence breaks out around the character, or they are surprised, the character must make a Willpower Test in order to act or respond in any way. If they fail the test, they lose their action and simply stand there, remaining incapable of reacting to the situation.",,TRUE,FALSE,,,FALSE,
Common Sense,10,"The character has an innate sense of judgment that cuts through other distractions and factors that might cloud a decision. Once per game session, the player may ask the gamemaster what choice they should make or what course of action they should take, and the gamemaster should give them solid advice based on what the character knows. Alternately, if the character is about to make a disastrous decision, the gamemaster can use the characters free hint and warn the player they are making a mistake.",,TRUE,FALSE,,,FALSE,
Coronal Adaptation,30,"For biomorphs, this radical alteration enables the subject's metabolism to live off solar energy, using medichines to repair radiation damage. This same metabolism also generates powerful electromagnetic fields that protect the character from the intense temperatures and radiation in the coronal environment and even enable the character to sail the solar winds. Morphs with this adaptation cannot survive outside the coronal environment (or similar environments) for more than a few days without extensive medical support. Coronal adaptation can only be applied to morphs that also have medichines (p. 308, EP).  For synthmorphs, this adaptation restructures the morph's composition with heat-resistant materials capable of surviving superheated plasma and shielded against radiation. The shell is also equipped with refractive metamaterials and a perfectly mirrored surface, giving it an albedo of nearly one. The reflective surface protects the wearer from well over 99% of the radiant energy that falls upon it, but a powerful cooling system and extensive radiation shielding are required for the minuscule percentage of energy that slips through. Generated electromagnetic fields also protect the morph and enable propulsion along solar magnetic lines. This adaptation provides a +10 modifier to the biomorph's Free Fall skill tests in the presence of strong electromagnetic fields. It also provides 10 points of Energy armor against heat and electromagnetic-based attacks (such as lasers, microwaves, and plasma weapons, but not explosions).",,FALSE,TRUE,,,FALSE,
Curbed Intelligence,-10,"(AGIs Only) Fearful of AGIs that might develop into seed AIs like the TITANs, some developers have programmed extra safeguards and precautions into AGI mind- states to limit their intelligence. The aptitude maximum for COG for this AGI character is 15.",,TRUE,FALSE,,,FALSE,
Danger Sense,10,The character has an intuitive sixth sense that warns them of imminent threats. They receive a +10 modifier on Surprise Tests.,+10 to surprise tests,TRUE,FALSE,,,FALSE,
Data Footprint,-10,"The character is particularly sloppy about keeping a lid on their daily living, online, and social networking interactions, leaving a larger data footprint than usual in the public eye. Apply a +10 modifier to any Research Tests to gather information on the character or track them online (see Scanning, Tracking, and Monitoring, p. 251, EP) and any Networking Tests to ascertain the character's networking interactions (see Keeping It Quiet, p. 288, EP).",+10 to opposing research tests,TRUE,FALSE,,,FALSE,
Debt (Level 1),-10,"The character is in debt to a loan shark or powerful organization that demands regular payments. The debt may be the result of a legitimate loan or the character may be a victim of extortion. Either way, the character is expected to pay, with an interest rate that is far above standard (and possibly illegal), and the creditor organization will not take no for an answer. The approximate level of debt is equal to the following amount: Level 1: 20,000 credits (plus 1d10 x 500 credits in weekly interest; Level 2: 40,000 credits (plus 2d10 x 500 credits in weekly interest; Level 3: 60,000 credits (plus 3d10 x 500 credits in weekly interest. Each week the character is expected to make a payment on the debt equal to the weekly interest. Failure to do so will cause the creditor organization to retaliate, which can take any number of forms. Hypercorp creditors may lower the character's rep by publicly declaring them a deadbeat while criminal syndicates may send ego hunters to extract full payment. Many organizations employ debt collectors that know how to get money from reluctant debtors one way or the other. If the character completely reneges on this debt, they gain the Black Mark (Level 2) and Enemy traits. Characters may be given the option of working off their weekly interest payment-or even their entire debt-by performing a job or other favor for the creditor organization. Generally, this will be a high risk mission for which the organization does not want to use its own personnel, such as retrieval of data from an exsurgent-infested abandoned habitat or assassinating the head of a Martian crime syndicate. The higher the debt is, the more dangerous or difficult the mission will be.",,TRUE,FALSE,,,FALSE,
Debt (Level 2),-20,"The character is in debt to a loan shark or powerful organization that demands regular payments. The debt may be the result of a legitimate loan or the character may be a victim of extortion. Either way, the character is expected to pay, with an interest rate that is far above standard (and possibly illegal), and the creditor organization will not take no for an answer. The approximate level of debt is equal to the following amount: Level 1: 20,000 credits (plus 1d10 x 500 credits in weekly interest; Level 2: 40,000 credits (plus 2d10 x 500 credits in weekly interest; Level 3: 60,000 credits (plus 3d10 x 500 credits in weekly interest. Each week the character is expected to make a payment on the debt equal to the weekly interest. Failure to do so will cause the creditor organization to retaliate, which can take any number of forms. Hypercorp creditors may lower the character's rep by publicly declaring them a deadbeat while criminal syndicates may send ego hunters to extract full payment. Many organizations employ debt collectors that know how to get money from reluctant debtors one way or the other. If the character completely reneges on this debt, they gain the Black Mark (Level 2) and Enemy traits. Characters may be given the option of working off their weekly interest payment-or even their entire debt-by performing a job or other favor for the creditor organization. Generally, this will be a high risk mission for which the organization does not want to use its own personnel, such as retrieval of data from an exsurgent-infested abandoned habitat or assassinating the head of a Martian crime syndicate. The higher the debt is, the more dangerous or difficult the mission will be.",,TRUE,FALSE,,,FALSE,
Debt (Level 3),-20,"The character is in debt to a loan shark or powerful organization that demands regular payments. The debt may be the result of a legitimate loan or the character may be a victim of extortion. Either way, the character is expected to pay, with an interest rate that is far above standard (and possibly illegal), and the creditor organization will not take no for an answer. The approximate level of debt is equal to the following amount: Level 1: 20,000 credits (plus 1d10 x 500 credits in weekly interest; Level 2: 40,000 credits (plus 2d10 x 500 credits in weekly interest; Level 3: 60,000 credits (plus 3d10 x 500 credits in weekly interest. Each week the character is expected to make a payment on the debt equal to the weekly interest. Failure to do so will cause the creditor organization to retaliate, which can take any number of forms. Hypercorp creditors may lower the character's rep by publicly declaring them a deadbeat while criminal syndicates may send ego hunters to extract full payment. Many organizations employ debt collectors that know how to get money from reluctant debtors one way or the other. If the character completely reneges on this debt, they gain the Black Mark (Level 2) and Enemy traits. Characters may be given the option of working off their weekly interest payment-or even their entire debt-by performing a job or other favor for the creditor organization. Generally, this will be a high risk mission for which the organization does not want to use its own personnel, such as retrieval of data from an exsurgent-infested abandoned habitat or assassinating the head of a Martian crime syndicate. The higher the debt is, the more dangerous or difficult the mission will be.",,TRUE,FALSE,,,FALSE,
Deferred Indenture (Level 1),-5,"Due to a prior contract or sentence, this character has a pending indenture that has yet to be redeemed. The character is legally obligated to perform whatever work is asked of them to repay their debt. At Level 1, the value of the indenture is equivalent to 5,000 credits or a Level 4 favor. At Level 2, it is worth 20,000 credits or a Level 5 favor. At Level 3, the indenture is worth 40,000 credits or two Level 5 favors. If the indenture is not honored when called in, the character will be subject to the legal consequences, up to and including pursuit by law enforcement and additional criminal penalties from the originating jurisdiction. Gamemasters and players should outline the circumstances that led to the establishment of the indenture.",,TRUE,FALSE,,,FALSE,
Deferred Indenture (Level 2),-15,"Due to a prior contract or sentence, this character has a pending indenture that has yet to be redeemed. The character is legally obligated to perform whatever work is asked of them to repay their debt. At Level 1, the value of the indenture is equivalent to 5,000 credits or a Level 4 favor. At Level 2, it is worth 20,000 credits or a Level 5 favor. At Level 3, the indenture is worth 40,000 credits or two Level 5 favors. If the indenture is not honored when called in, the character will be subject to the legal consequences, up to and including pursuit by law enforcement and additional criminal penalties from the originating jurisdiction. Gamemasters and players should outline the circumstances that led to the establishment of the indenture.",,TRUE,FALSE,,,FALSE,
Deferred Indenture (Level 3),-20,"Due to a prior contract or sentence, this character has a pending indenture that has yet to be redeemed. The character is legally obligated to perform whatever work is asked of them to repay their debt. At Level 1, the value of the indenture is equivalent to 5,000 credits or a Level 4 favor. At Level 2, it is worth 20,000 credits or a Level 5 favor. At Level 3, the indenture is worth 40,000 credits or two Level 5 favors. If the indenture is not honored when called in, the character will be subject to the legal consequences, up to and including pursuit by law enforcement and additional criminal penalties from the originating jurisdiction. Gamemasters and players should outline the circumstances that led to the establishment of the indenture.",,TRUE,FALSE,,,FALSE,
Dependent,-5,"This character has a dependent-a child, a disabled family member, or even a much-loved but needy smart animal pet. Though the character can leave their ward's care in the hands of a fork or others, they must occasionally attend to the dependent's needs and may sometimes be forced to bring the dependent with them. The player and gamemaster should work out the specifics of the dependent NPC together; this NPC should have no skills or abilities of value to the player character. The dependent should be a potential vulnerability for the character that enemies or rivals could exploit.",,TRUE,FALSE,,,FALSE,
Digital Ghost,10,"The character has an intuitive knack for keeping their computer intrusions out of the spotlight. Once per game session, the hacker may prevent a Severe Failure or Critical Failure from downgrading their status on a hacked system (see Failing Tests, p. 257, EP).",,TRUE,FALSE,,,FALSE,
Direction Sense,10,"Somehow the character always knows which way is up, north, etc., even when blinded. The character receives a +10 modifier for - guring out complex directions, reading maps, and remembering or retracing a path they have taken.",,TRUE,FALSE,,,FALSE,
Divergent Personality,-10,"Something about this character makes their forks diverge from their core personality more quickly than usual. When attempting a merge, treat the fork's time apart as if it were one step lower on the Merging table (p. 275, EP). For example, a fork that is absent under an hour is treated as if it were away for 1-4 hours. Characters with this trait may not take the multi- tasking implant; the continual forking and merging is too stressful on their mind.",,TRUE,FALSE,,,FALSE,
Dominant Strain,10,"(Asyncs Only) This trait is only available to asyncs. The Watts-MacLeod virus has a special hold on the async and aggressively resists attempts by other strains of the exsurgent virus to gain a foothold in the character. Instead of the usual -20 penalty to resist infection, the character gains a +10 bonus. Any time they must make such a test, however, they immediately suffer the effects of a derangement for 1d10 hours after the test is resolved as the Watts-MacLeod strain asserts itself. They incur no stress along with this derangement, but multiple tests to resist infection may, at the gamemaster's discretion, incur additional derangements.",,TRUE,FALSE,,,FALSE,
Domineering,-10,"(Uplifts Only) This trait is only available to uplifts and is most common among neo-hominids. The character retains pre-sapient neurological urges to gain social status via dominance. The character must make a WIL x 2 Test to use Persuasion skill in any situation where they can safely deploy Intimidation skill instead. Additionally, they must make a WIL x 3 Test to avoid responding to acts of intimidation with threat displays or violence, though such violence need not be lethal (note that they will still back down if someone successfully uses Intimidation skill on them). Since the evolutionary purpose of dominance structures is to minimize conflict, domineering uplifts prefer to surround themselves with submissives and will avoid entering situations where they know their dominance might be challenged. Such domineering characters often suffer poor reputations in modern transhuman reputation networks. They may not start with a rep score higher than 40 in any rep network other than Guanxi. (Note: this constraint is not enforced; verify that your character meets this requirement.)",,TRUE,FALSE,,,FALSE,
Drug Exception,10,"The character or morph has an unusual resistance to addiction for one particular biological or chemical drug (but not nanodrugs or narcoalgorithms). Addiction Tests for using that drug or resisting an addiction craving are made with a +20 modifier.Furthermore, the character halves the penalty for minor and moderate addiction to that drug, but still suffers full penalties from major addiction.",,TRUE,TRUE,,,FALSE,
Drug Fiend,-10,The character or morph has a weak resistance to addiction. Addiction Tests (including attempts to resist addiction cravings) are made with a -20 modifier.,,TRUE,TRUE,,,FALSE,
Edited Memories,-10,"At some point in the character's past, the character had certain memories strategically removed or otherwise lost to them. This may have been done to intentionally forget an unpleasant or shameful experience or to make a break with the past. The memory may also have been lost by an unexpected death (with no recent backup), or it may have been erased against the character's will. Whatever the case, the memory should bear some importance, and there should exist either evidence of what happened or NPCs who know the full story. This is a tool the gamemaster can use to haunt the character at some future point with ghosts from their past.",,TRUE,FALSE,,,FALSE,
Ego Plasticity (Level 1),10,"Merging forks can be stressful under the best of circumstances, but some people handle the process better than others. Per level, the character gains a +10 modifier on all Merging Tests and suffers -1 SV when merging forks.",,TRUE,FALSE,,,FALSE,
Ego Plasticity (Level 2),20,"Merging forks can be stressful under the best of circumstances, but some people handle the process better than others. Per level, the character gains a +10 modifier on all Merging Tests and suffers -1 SV when merging forks.",,TRUE,FALSE,,,FALSE,
Ego Plasticity (Level 3),30,"Merging forks can be stressful under the best of circumstances, but some people handle the process better than others. Per level, the character gains a +10 modifier on all Merging Tests and suffers -1 SV when merging forks.",,TRUE,FALSE,,,FALSE,
Eidetic Memory,10,"Much like a computer, the character has perfect memory recall. They can remember anything they have sensed, often even from a single glance. This works the same as the eidetic memory implant.",,TRUE,TRUE,,,FALSE,
Emotive,0,"Synthmorph Only. The emotive circuits for this morph are exceptional. Kinesics Tests made against the morph suffer only a -10 modifier, rather than the usual -30 for synthmorphs. This is useful when non-vocally emoting to friends, and not so great when trying to hide your intentions from others.",,FALSE,TRUE,,,FALSE,
Emotive Blindness,-10,"(AGIs and Uplifts Only) This trait is only available to AGIs and uplifts. This character has difficulty reading the finer points of social cues, body language, expressions, emoting, and so forth for any transhuman outside of its own species. Apply a -10 modifier to Kinesics Tests used against anyone not of the same species as the character.",,TRUE,FALSE,,,FALSE,
Enemy,-10,"At some point in their past, the character made an enemy for life who continues to haunt them. The gamemaster and player should work out the details on this enmity, and the gamemaster should use the enemy as an occasional threat, surprise, and hindrance.",,TRUE,FALSE,,,FALSE,
Enlarged Size,10,"This trait increases the size of an existing morph model from either small to medium or medium to large (morphs may only be enlarged once). Morphs enlarged to a medium size lose the effects of the Small Size trait (p. 95) and gain 5 points of Durability. Morphs enlarged to a large size gain the effects of the Large Size trait (p. 94) and 10 points of Durability. Durability increases also effect Wound Threshold and Death Rating as normal. Enlarging a morph may affect other changes at the gamemaster's discretion. For example, morphs that relied on their small size for flight may lose that capability or suffer modifiers.",,FALSE,TRUE,,,FALSE,
Entrepreneur (Level 1),10,"This character is the owner or co-owner of their own small hypercorp, microcorp, or business franchise-or an active participant in an autonomist cooperative, collective, or work syndicate. This entity has its own reputation score in an appropriate social network; at the beginning of game play, this rep score equals the trait level x 20. As an owner/member, the character can call upon this rep score for favors, information, and goods, just as they would their own rep score. At the gamemster's discretion, this venture can provide other benefits, such as enabling opportunities for smuggling, making official inquiries, or providing a cover for clandestine activities. Though a character can handle much of their management/participation in their businesses or cooperative work project via the mesh and forking, the gamemaster should ensure that the relationship is not strictly a one-way street and occasionally place obligations on the character to take care of business affairs. The gamemaster and player should work together to define the nature of the business/cooperative, such as what it focuses on, where it is based, and the other important partici- pants. These ventures are more than just another resource for the character to call upon, as they can also be used to sew new plot seeds or create new role- playing opportunities. The reputation score of this venture should fluc- tuate during game play, much like a player character's. This may be in part due to the character's actions, but could also result from economic or political factors outside the character's control. NOTE: Add this rep as free points to the OTHER rep section after game start.",,TRUE,FALSE,,,FALSE,
Entrepreneur (Level 2),20,"This character is the owner or co-owner of their own small hypercorp, microcorp, or business franchise-or an active participant in an autonomist cooperative, collective, or work syndicate. This entity has its own reputation score in an appropriate social network; at the beginning of game play, this rep score equals the trait level x 20. As an owner/member, the character can call upon this rep score for favors, information, and goods, just as they would their own rep score. At the gamemster's discretion, this venture can provide other benefits, such as enabling opportunities for smuggling, making official inquiries, or providing a cover for clandestine activities. Though a character can handle much of their management/participation in their businesses or cooperative work project via the mesh and forking, the gamemaster should ensure that the relationship is not strictly a one-way street and occasionally place obligations on the character to take care of business affairs. The gamemaster and player should work together to define the nature of the business/cooperative, such as what it focuses on, where it is based, and the other important partici- pants. These ventures are more than just another resource for the character to call upon, as they can also be used to sew new plot seeds or create new role- playing opportunities. The reputation score of this venture should fluc- tuate during game play, much like a player character's. This may be in part due to the character's actions, but could also result from economic or political factors outside the character's control. NOTE: Add this rep as free points to the OTHER rep section after game start.",,TRUE,FALSE,,,FALSE,
Entrepreneur (Level 3),30,"This character is the owner or co-owner of their own small hypercorp, microcorp, or business franchise-or an active participant in an autonomist cooperative, collective, or work syndicate. This entity has its own reputation score in an appropriate social network; at the beginning of game play, this rep score equals the trait level x 20. As an owner/member, the character can call upon this rep score for favors, information, and goods, just as they would their own rep score. At the gamemster's discretion, this venture can provide other benefits, such as enabling opportunities for smuggling, making official inquiries, or providing a cover for clandestine activities. Though a character can handle much of their management/participation in their businesses or cooperative work project via the mesh and forking, the gamemaster should ensure that the relationship is not strictly a one-way street and occasionally place obligations on the character to take care of business affairs. The gamemaster and player should work together to define the nature of the business/cooperative, such as what it focuses on, where it is based, and the other important partici- pants. These ventures are more than just another resource for the character to call upon, as they can also be used to sew new plot seeds or create new role- playing opportunities. The reputation score of this venture should fluc- tuate during game play, much like a player character's. This may be in part due to the character's actions, but could also result from economic or political factors outside the character's control. NOTE: Add this rep as free points to the OTHER rep section after game start.",,TRUE,FALSE,,,FALSE,
